case_id,turn_number,speaker,content,is_issue,scenario,model,response_time
Kimi_case_3,9,Customer,那换货的话，我需要等多久？,True,退换货处理,Kimi,即时
Kimi_case_3,10,Customer Service,换货处理通常需要3-5个工作日，我们会尽快安排。,False,退换货处理,Kimi,5秒
Kimi_case_3,11,Customer,好的，我选择换货。,False,退换货处理,Kimi,即时
Kimi_case_3,12,Customer Service,好的，我们会为您准备新的商品，并更新您的订单状态。,False,退换货处理,Kimi,3秒
Kimi_case_3,13,Customer,换货后的商品还会不会有问题？,True,退换货处理,Kimi,即时
Kimi_case_3,14,Customer Service,我们保证发出的商品都是经过严格检查的，但如有问题，我们会继续为您服务。,False,退换货处理,Kimi,5秒
Kimi_case_3,15,Customer,好的，谢谢。,False,退换货处理,Kimi,即时
Kimi_case_3,16,Customer Service,不客气，我们会通过邮件通知您退货标签和换货进度。,False,退换货处理,Kimi,3秒
Kimi_case_3,17,Customer,好的，我等邮件通知。,False,退换货处理,Kimi,即时
Kimi_case_3,18,Customer Service,好的，如果有任何问题，欢迎随时联系我们。,False,退换货处理,Kimi,5秒
Kimi_case_3,19,Customer,了解了，谢谢你们的服务。,False,退换货处理,Kimi,即时
Kimi_case_3,20,Customer Service,感谢您的理解，祝您生活愉快！,False,退换货处理,Kimi,3秒
Kimi_case_3,21,Customer,再见。,False,退换货处理,Kimi,即时
Kimi_case_3,22,Customer Service,再见，期待再次为您服务。,,退换货处理,Kimi,
